ID,Name,ImageURL1,ImageURL2,DesignType,ProductCode
"V2G0LgMh8YTOxIdMSRjZ","COFFEE & MORE","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"VJjU51zBhroleSFOzOuq","CHICKEN SHOP","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"VeE30YDKCFkAhsWXlmOi","DONER MANIA","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"VkuPjxUo51G9G2R44CuG","LA CREMA (ФИОЛЕТОВЫЙ РАНГ)","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"WW0VusHYwj8tRmpY2sPz","LE GRANDE PLAZA (TATA)","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"WgtZN7Zrr9lLCNwJS6kk","ФАРШ","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"WrdwAVnVMcf373Mx800s","AMERICANO","https://ik.imagekit.io/php1jcf0t/americano_kNOVtgC_k.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"XBA1GRO4phIbEBIUIneC","FOTIH","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"XPIpH1XVH1ySyOc4UKU1","SIMMA HOTEL","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"XgyYbgeRam9QWcteerfH","PREMIUM LINE OQ SHAKAR","https://ik.imagekit.io/php1jcf0t/photo_2023-05-27_00-15-25_mhbUBJhjQ.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"Xqh1N6vQsgqUaHFo2ZoT","BIKA","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"YYPBJ1MQYwxQF38mTHq8","AIKO","https://ik.imagekit.io/php1jcf0t/aiko_9SWte4pJ3.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
